ssd_mean,ssd_std,sigma_min,sigma_max,lr,weight_decay
-5.0,2.0,3.059023205018258e-07,148.4131591025766,0.0002,0.0001
-5.0,1.8333333333333333,7.038738644428715e-07,64.50009306485572,0.0002,0.0001
-5.0,1.6666666666666667,1.6195967923126097e-06,28.03162489452615,0.0002,0.0001
-5.0,1.5,3.726653172078671e-06,12.182493960703473,0.0002,0.0001
-5.0,1.3333333333333335,8.574939102672282e-06,5.294490050470036,0.0002,0.0001
-5.0,1.1666666666666667,1.9730728141123086e-05,2.3009758908928264,0.0002,0.0001
-5.0,1.0,4.5399929762484854e-05,1.0,0.0002,0.0001
-5.0,0.8333333333333335,0.00010446414383170514,0.43459820850707875,0.0002,0.0001
-5.0,0.6666666666666667,0.00024036947641951407,0.18887560283756194,0.0002,0.0001
-5.0,0.5,0.0005530843701478336,0.0820849986238988,0.0002,0.0001
-4.5,2.0,5.04347662567888e-07,244.69193226422038,0.0002,0.0001
-4.5,1.8333333333333333,1.1604918121968607e-06,106.34267539816545,0.0002,0.0001
-4.5,1.6666666666666667,2.6702636814434975e-06,46.216336215892504,0.0002,0.0001
-4.5,1.5,6.14421235332821e-06,20.085536923187668,0.0002,0.0001
-4.5,1.3333333333333335,1.4137684493534062e-05,8.729138363720143,0.0002,0.0001
-4.5,1.1666666666666667,3.2530471172671234e-05,3.79366789468318,0.0002,0.0001
-4.5,1.0,7.48518298877006e-05,1.6487212707001282,0.0002,0.0001
-4.5,0.8333333333333335,0.00017223225596080984,0.71653131057379,0.0002,0.0001
-4.5,0.6666666666666667,0.00039630226859990573,0.31140322391459785,0.0002,0.0001
-4.5,0.5,0.0009118819655545162,0.1353352832366127,0.0002,0.0001
-4.0,2.0,8.315287191035679e-07,403.4287934927351,0.0002,0.0001
-4.0,1.8333333333333333,1.9133275352423027e-06,175.3294309121146,0.0002,0.0001
-4.0,1.6666666666666667,4.402520529973925e-06,76.19785657297064,0.0002,0.0001
-4.0,1.5,1.013009359863071e-05,33.11545195869231,0.0002,0.0001
-4.0,1.3333333333333335,2.3309101142936975e-05,14.391916095149911,0.0002,0.0001
-4.0,1.1666666666666667,5.36336797682804e-05,6.254700951936332,0.0002,0.0001
-4.0,1.0,0.00012340980408667956,2.718281828459045,0.0002,0.0001
